Load Port,Eqp Type (Abrv) in Shipment,ETD,Dsch Port,ETA Dsch Port,Final Dest,ETA Final Dest,Msr (Per Eqp),Unit of Measure,Wgt (Per Eqp),Unit of Measure,PO No.,Item Class,Shipped Qty,PkgCode,Shipped Dtl Qty,PkgCode,Item Shipped Wgt,Unit of Measure,Item Shipped Msr,Unit of Measure
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,"4,207.44",KG,90001,S-Shorts,31,CTN,700,PCS,362.90,KG,1.86,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,"4,207.44",KG,90002,S-Shorts,15,CTN,360,PCS,169.50,KG,0.9,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,"4,207.44",KG,90003,S-Shorts,23,CTN,500,PCS,227.40,KG,1.38,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,"4,207.44",KG,90004,S-Shorts,17,CTN,366,PCS,181.85,KG,1.02,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,"4,207.44",KG,90005,S-Shorts,58,CTN,1006,PCS,398.93,KG,2.53,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,4207.44,KG,90006,S-Shorts,70,CTN,1191,PCS,470.7,KG,3.06,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,4207.44,KG,90007,S-Shorts,70,CTN,1200,PCS,435.08,KG,3.06,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,4207.44,KG,90008,S-Shorts,88,CTN,1525,PCS,659.52,KG,3.84,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,24.83,M3,4207.44,KG,90009,S-Shorts,71,CTN,1223,PCS,532.11,KG,3.1,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90010,S-Shorts,1,CTN,6,PCS,3.75,KG,0.024,CBM
