Load Port,Eqp Type (Abrv) in Shipment,ETD,Dsch Port,ETA Dsch Port,Final Dest,ETA Final Dest,Msr (Per Eqp),Unit of Measure,Wgt (Per Eqp),Unit of Measure,PO No.,Item Class,Shipped Qty,PkgCode,Shipped Dtl Qty,PkgCode,Item Shipped Wgt,Unit of Measure,Item Shipped Msr,Unit of Measure
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90011,S-Shorts,40,CTN,956,PCS,461.65,KG,2.4,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90011,S-Shorts,1,CTN,5,PCS,2.85,KG,0.024,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90012,S-Shorts,2,CTN,26,PCS,14.55,KG,0.05,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90012,S-Shorts,20,CTN,471,PCS,233.47,KG,1.201,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90012,S-Shorts,1,CTN,3,PCS,2,KG,0.024,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,1,CTN,6,PCS,3.8,KG,0.022,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,4,CTN,96,PCS,50.7,KG,0.232,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,1,CTN,16,PCS,8.4,KG,0.042,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,12,CTN,288,PCS,146.4,KG,0.7,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,1,CTN,13,PCS,7.8,KG,0.022,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,20,CTN,487,PCS,239.2,KG,1.161,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,1,CTN,17,PCS,8.2,KG,0.042,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,3,CTN,72,PCS,33.9,KG,0.174,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90013,S-Shorts,1,CTN,5,PCS,2.9,KG,0.024,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,1,CTN,6,PCS,3.8,KG,0.022,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,4,CTN,96,PCS,50.7,KG,0.232,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,1,CTN,16,PCS,8.4,KG,0.042,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,12,CTN,288,PCS,146.4,KG,0.7,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,1,CTN,13,PCS,7.8,KG,0.022,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,20,CTN,487,PCS,239.2,KG,1.16,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,1,CTN,17,PCS,8.2,KG,0.042,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,3,CTN,72,PCS,33.9,KG,0.174,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90014,S-Shorts,1,CTN,5,PCS,2.9,KG,0.024,CBM
BANGLADESH - CHITTAGONG,20FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,17.11,M3,4257.87,KG,90015,C-Trousers,190,CTN,3800,PCS,2537,KG,8.55,CBM
BANGLADESH - CHITTAGONG,40FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,56.32,M3,7005.6,KG,90016,I-Knitwear,250,CTN,6000,PCS,4200,KG,33.77,CBM
BANGLADESH - CHITTAGONG,40FT,03/13/2016,UK - SOUTHAMPTON,04/08/2016,UK Door,04/13/2016,56.32,M3,7005.6,KG,90017,I-Knitwear,167,CTN,4008,PCS,2805.6,KG,22.55,CBM
CAMBODIA - SIHANOUKVILLE,20FT,03/13/2016,UK - FELIXSTOWE,04/08/2016,UK Door,04/12/2016,23.76,M3,4808.1,KG,90018,C-Trousers,83,CTN,3296,PCS,989.4,KG,4.63,CBM
CAMBODIA - SIHANOUKVILLE,20FT,03/13/2016,UK - FELIXSTOWE,04/08/2016,UK Door,04/12/2016,23.76,M3,4808.1,KG,90019,C-Trousers,171,CTN,6719,PCS,2036,KG,9.54,CBM
CAMBODIA - SIHANOUKVILLE,20FT,03/13/2016,UK - FELIXSTOWE,04/08/2016,UK Door,04/12/2016,23.76,M3,4808.1,KG,90020,C-Trousers,80,CTN,3092,PCS,940.3,KG,4.46,CBM
CAMBODIA - SIHANOUKVILLE,20FT,03/13/2016,UK - FELIXSTOWE,04/08/2016,UK Door,04/12/2016,23.76,M3,4808.1,KG,90021,S-Shorts,22,CTN,1216,PCS,204.4,KG,1.19,CBM
CAMBODIA - SIHANOUKVILLE,20FT,03/13/2016,UK - FELIXSTOWE,04/08/2016,UK Door,04/12/2016,23.76,M3,4808.1,KG,90022,S-Shorts,45,CTN,2352,PCS,400.3,KG,2.43,CBM
CAMBODIA - SIHANOUKVILLE,20FT,03/13/2016,UK - FELIXSTOWE,04/08/2016,UK Door,04/12/2016,23.76,M3,4808.1,KG,90023,S-Shorts,28,CTN,1368,PCS,237.7,KG,1.51,CBM
CAMBODIA - SIHANOUKVILLE,40HC,03/06/2016,UK - SOUTHAMPTON,04/11/2016,UK Door,04/09/2016,47.25,M3,7232.2,KG,90024,M-Tops,92,CTN,4570,PCS,952.6,KG,6.9,CBM
CAMBODIA - SIHANOUKVILLE,40HC,03/06/2016,UK - SOUTHAMPTON,04/11/2016,UK Door,04/09/2016,47.25,M3,7232.2,KG,90025,M-Tops,102,CTN,4860,PCS,1056,KG,7.65,CBM
CAMBODIA - SIHANOUKVILLE,40HC,03/06/2016,UK - SOUTHAMPTON,04/11/2016,UK Door,04/09/2016,47.25,M3,7232.2,KG,90026,M-Tops,91,CTN,4510,PCS,1085,KG,6.825,CBM
CAMBODIA - SIHANOUKVILLE,40HC,03/06/2016,UK - SOUTHAMPTON,04/11/2016,UK Door,04/09/2016,47.25,M3,7232.2,KG,90027,M-Tops,88,CTN,4154,PCS,913.4,KG,6.6,CBM
CAMBODIA - SIHANOUKVILLE,40HC,03/06/2016,UK - SOUTHAMPTON,04/11/2016,UK Door,04/09/2016,47.25,M3,7232.2,KG,90028,M-Tops,42,CTN,2090,PCS,552.2,KG,3.15,CBM
CAMBODIA - SIHANOUKVILLE,40HC,03/06/2016,UK - SOUTHAMPTON,04/11/2016,UK Door,04/09/2016,47.25,M3,7232.2,KG,90029,M-Tops,82,CTN,3600,PCS,992.2,KG,6.15,CBM
CAMBODIA - SIHANOUKVILLE,40HC,03/06/2016,UK - SOUTHAMPTON,04/11/2016,UK Door,04/09/2016,47.25,M3,7232.2,KG,90030,M-Tops,133,CTN,5890,PCS,1680.8,KG,9.975,CBM
CAMBODIA - SIHANOUKVILLE,40FT,03/13/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,04/09/2016,33.17,M3,3452.8,KG,90031,M-Tops,91,CTN,2720,PCS,1052.2,KG,9.993984,CBM
CAMBODIA - SIHANOUKVILLE,40FT,03/13/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,04/09/2016,33.17,M3,3452.8,KG,90032,M-Tops,70,CTN,2020,PCS,745.2,KG,7.68768,CBM
CAMBODIA - SIHANOUKVILLE,40FT,03/13/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,04/09/2016,33.17,M3,3452.8,KG,90033,M-Tops,91,CTN,2720,PCS,1052.2,KG,9.993984,CBM
CAMBODIA - SIHANOUKVILLE,40FT,03/13/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,04/09/2016,33.17,M3,3452.8,KG,90034,M-Tops,50,CTN,1408,PCS,603.2,KG,5.4912,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,04/21/2016,2.16,M3,357.8,KG,90035,B-Jeans,40,CTN,586,PCS,357.8,KG,2.16,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,04/21/2016,3.078,M3,592.2,KG,90036,B-Jeans,57,CTN,1014,PCS,592.2,KG,3.078,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,0.54,M3,83.8,KG,90037,B-Jeans,10,CTN,140,PCS,83.8,KG,0.54,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,3.132,M3,632.7,KG,90038,B-Jeans,58,CTN,1152,PCS,632.7,KG,3.132,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,2.106,M3,418.4,KG,90039,B-Jeans,39,CTN,782,PCS,418.4,KG,2.106,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,0.972,M3,189.2,KG,90040,B-Jeans,18,CTN,301,PCS,189.2,KG,0.972,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,3.672,M3,823.8,KG,90041,B-Jeans,68,CTN,1384,PCS,823.8,KG,3.672,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,5.13,M3,1130.7,KG,90042,B-Jeans,95,CTN,1946,PCS,1130.7,KG,5.13,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,0.108,M3,15,KG,90043,B-Jeans,2,CTN,24,PCS,15,KG,0.108,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,0.594,M3,89.1,KG,90044,B-Jeans,11,CTN,146,PCS,89.1,KG,0.594,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,2.16,M3,420.8,KG,90045,B-Jeans,40,CTN,802,PCS,420.8,KG,2.16,CBM
CHINA - YANTIAN,20FT,03/25/2016,UK - SOUTHAMPTON,04/17/2016,UK Door,05/12/2016,3.402,M3,687.5,KG,90046,B-Jeans,63,CTN,1298,PCS,687.5,KG,3.402,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90047,I-Knitwear,22,CTN,505,PCS,146.8,KG,1.44,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90048,I-Knitwear,26,CTN,550,PCS,159.6,KG,1.71,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90049,I-Knitwear,27,CTN,600,PCS,177.15,KG,1.77,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90050,I-Knitwear,16,CTN,555,PCS,107.1,KG,1.05,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90051,I-Knitwear,16,CTN,500,PCS,98.3,KG,1.05,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90052,I-Knitwear,43,CTN,1032,PCS,344,KG,1.68,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90053,I-Knitwear,56,CTN,1338,PCS,447,KG,2.2,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90054,I-Knitwear,4,CTN,75,PCS,28,KG,0.151,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,1532.45,KG,90055,I-Knitwear,1,CTN,8,PCS,4,KG,0.02,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,"1,532.45",KG,90056,I-Knitwear,1,CTN,8,PCS,4,KG,0.02,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,"1,532.45",KG,90057,I-Knitwear,1,CTN,8,PCS,4.00,KG,0.02,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,"1,532.45",KG,90058,I-Knitwear,1,CTN,25,PCS,8.5,KG,0.039,CBM
CHINA - SHANGHAI,20FT,03/25/2016,UK - FELIXSTOWE,04/19/2016,UK Door,04/22/2016,11.17,M3,"1,532.45",KG,90059,I-Knitwear,1,CTN,8,PCS,4.00,KG,0.02,CBM
CHINA - YANTIAN,20FT,03/30/2016,UK - FELIXSTOWE,04/20/2016,UK Door,05/09/2016,5.99,M3,828.00,KG,90060,I-Knitwear,70,CTN,1895,PCS,828,KG,5.99,CBM
CHINA - YANTIAN,20FT,03/30/2016,UK - FELIXSTOWE,04/20/2016,UK Door,05/09/2016,1.89,M3,261.00,KG,90061,I-Knitwear,22,CTN,600,PCS,261.00,KG,1.89,CBM
CHINA - YANTIAN,20FT,03/30/2016,UK - FELIXSTOWE,04/20/2016,UK Door,05/09/2016,7.41,M3,"1,019.00",KG,90062,I-Knitwear,86,CTN,2343,PCS,1019,KG,7.41,CBM
CHINA - YANTIAN,20FT,03/30/2016,UK - FELIXSTOWE,04/20/2016,UK Door,05/02/2016,1.49,M3,209.00,KG,90063,I-Knitwear,21,CTN,1000,PCS,209.00,KG,1.49,CBM
CHINA - YANTIAN,20FT,03/30/2016,UK - FELIXSTOWE,04/20/2016,UK Door,05/16/2016,1.63,M3,229,KG,90064,I-Knitwear,23,CTN,620,PCS,229,KG,1.63,CBM
CHINA - YANTIAN,20FT,03/30/2016,UK - FELIXSTOWE,04/20/2016,UK Door,05/16/2016,2.2,M3,308,KG,90065,I-Knitwear,31,CTN,795,PCS,308,KG,2.2,CBM
BANGLADESH - CHITTAGONG,40HC,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,65.4,M3,9670.7,KG,90066,I-Knitwear,150,CTN,3600,PCS,2475,KG,19.13,CBM
BANGLADESH - CHITTAGONG,40HC,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,65.4,M3,9670.7,KG,90067,I-Knitwear,150,CTN,3600,PCS,2475,KG,19.13,CBM
BANGLADESH - CHITTAGONG,40HC,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,65.4,M3,9670.7,KG,90068,I-Knitwear,150,CTN,3600,PCS,2475,KG,19.13,CBM
BANGLADESH - CHITTAGONG,40HC,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,65.4,M3,9670.7,KG,90069,C-Trousers,178,CTN,3550,PCS,2245.7,KG,8.01,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90070,M-Tops,88,CTN,2200,PCS,486.8,KG,2.83,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90071,M-Tops,70,CTN,1750,PCS,387.2,KG,2.25,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90072,S-Shorts,82,CTN,1418,PCS,429,KG,3.58,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90073,S-Shorts,55,CTN,920,PCS,385.19,KG,2.4,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90074,S-Shorts,32,CTN,1000,PCS,363.85,KG,1.92,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90075,S-Shorts,32,CTN,1047,PCS,388.26,KG,1.92,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90076,S-Shorts,8,CTN,282,PCS,94.3,KG,0.48,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90077,S-Shorts,24,CTN,767,PCS,280.5,KG,1.44,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90078,S-Shorts,32,CTN,1049,PCS,393.5,KG,1.92,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90079,S-Shorts,32,CTN,1045,PCS,393.4,KG,1.92,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90080,S-Shorts,32,CTN,1031,PCS,385.05,KG,1.92,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90081,S-Shorts,8,CTN,147,PCS,71.1,KG,0.48,CBM
BANGLADESH - CHITTAGONG,20FT,03/26/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,23.9,M3,4207.95,KG,90082,S-Shorts,14,CTN,385,PCS,149.8,KG,0.84,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.08,M3,12027.32,KG,90083,C-Trousers,406,CTN,4872,PCS,3126.3,KG,15.43,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.08,M3,12027.32,KG,90084,C-Trousers,455,CTN,9100,PCS,5743.5,KG,20.48,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.08,M3,12027.32,KG,90085,I-Knitwear,1,CTN,5,PCS,11.2,KG,0.1,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.08,M3,12027.32,KG,90085,I-Knitwear,58,CTN,870,PCS,649.6,KG,5.95,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.08,M3,12027.32,KG,90086,I-Knitwear,206,CTN,3255,PCS,2496.72,KG,21.12,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.99,M3,7441.4,KG,90087,I-Knitwear,1,CTN,5,PCS,12,KG,0.1,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.99,M3,7441.4,KG,90087,I-Knitwear,58,CTN,870,PCS,696,KG,5.95,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.99,M3,7441.4,KG,90088,I-Knitwear,96,CTN,1500,PCS,1163.52,KG,9.84,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.99,M3,7441.4,KG,90089,I-Knitwear,124,CTN,1950,PCS,1502.88,KG,12.72,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.99,M3,7441.4,KG,90090,I-Knitwear,110,CTN,1650,PCS,1232,KG,11.28,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.99,M3,7441.4,KG,90091,I-Knitwear,110,CTN,1650,PCS,1320,KG,11.28,CBM
BANGLADESH - CHITTAGONG,40HC,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,63.99,M3,7441.4,KG,90092,I-Knitwear,125,CTN,1995,PCS,1515,KG,12.82,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90093,S-Shorts,18,CTN,526,PCS,196.18,KG,1.1,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90094,S-Shorts,18,CTN,526,PCS,196.18,KG,1.1,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90095,S-Shorts,32,CTN,1049,PCS,386.41,KG,1.95,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90096,S-Shorts,8,CTN,157,PCS,55.32,KG,0.49,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90096,S-Shorts,13,CTN,383,PCS,134.65,KG,0.79,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90097,S-Shorts,7,CTN,105,PCS,39.5,KG,0.43,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90098,I-Knitwear,219,CTN,3500,PCS,2759.4,KG,19.44,CBM
BANGLADESH - CHITTAGONG,40FT,03/28/2016,UK - SOUTHAMPTON,04/21/2016,UK Door,04/26/2016,49.98,M3,7193.74,KG,90099,I-Knitwear,219,CTN,3500,PCS,2759.4,KG,19.44,CBM
