BANGLADESH - CHITTAGONG,A-Accessories,2018,8,20,2018-08-20,08/20/2018,2018,8,20,2018-09-16,09/16/2018,37.6738592265,BANGLADESH - CHITTAGONG,2018-08-20,8,2018-09-16,A-Accessories,-49,-76,2018-07-02,2018-07-02,36,9,2018-09-25,2018-09-25,-84,-20,2018-05-28,2018-08-27,7,100,2018-08-27,2018-12-25,2018-08-20,BANGLADESH - CHITTAGONG,A-Accessories,2018-08-15,128.9283182421,5,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,8,27,2018-08-27,08/27/2018,2018,8,27,2018-09-23,09/23/2018,286.739928558,BANGLADESH - CHITTAGONG,2018-08-27,8,2018-09-23,A-Accessories,-56,-83,2018-07-02,2018-07-02,29,2,2018-09-25,2018-09-25,0,-27,2018-08-27,2018-08-27,120,93,2018-12-25,2018-12-25,2018-08-27,BANGLADESH - CHITTAGONG,A-Accessories,2018-08-20,37.6738592265,7,27
BANGLADESH - CHITTAGONG,A-Accessories,2017,8,31,2017-08-31,08/31/2017,2017,8,31,2017-09-27,09/27/2017,6.9766405975,BANGLADESH - CHITTAGONG,2017-08-31,8,2017-09-27,A-Accessories,-61,-88,2017-07-01,2017-07-01,31,4,2017-10-01,2017-10-01,-3,-30,2017-08-28,2017-08-28,116,89,2017-12-25,2017-12-25,2017-08-31,BANGLADESH - CHITTAGONG,A-Accessories,2017-08-17,131.7189744812,14,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,9,1,2018-09-01,09/01/2018,2018,9,1,2018-09-28,09/28/2018,99.0682964846,BANGLADESH - CHITTAGONG,2018-09-01,9,2018-09-28,A-Accessories,-61,-88,2018-07-02,2018-07-02,24,3,2018-09-25,2018-10-01,-5,-32,2018-08-27,2018-08-27,115,88,2018-12-25,2018-12-25,2018-09-01,BANGLADESH - CHITTAGONG,A-Accessories,2018-08-27,286.739928558,5,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,9,3,2018-09-03,09/03/2018,2018,9,3,2018-09-30,09/30/2018,25.115906151,BANGLADESH - CHITTAGONG,2018-09-03,9,2018-09-30,A-Accessories,-63,-90,2018-07-02,2018-07-02,22,1,2018-09-25,2018-10-01,-7,-34,2018-08-27,2018-08-27,113,86,2018-12-25,2018-12-25,2018-09-03,BANGLADESH - CHITTAGONG,A-Accessories,2018-09-01,99.0682964846,2,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,9,5,2018-09-05,09/05/2018,2018,9,5,2018-10-02,10/02/2018,502.8762542689,BANGLADESH - CHITTAGONG,2018-09-05,9,2018-10-02,A-Accessories,-65,-92,2018-07-02,2018-07-02,20,15,2018-09-25,2018-10-17,-9,-36,2018-08-27,2018-08-27,111,84,2018-12-25,2018-12-25,2018-09-05,BANGLADESH - CHITTAGONG,A-Accessories,2018-09-03,25.115906151,2,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,9,10,2018-09-10,09/10/2018,2018,9,10,2018-10-07,10/07/2018,859.5221216144,BANGLADESH - CHITTAGONG,2018-09-10,9,2018-10-07,A-Accessories,-70,-97,2018-07-02,2018-07-02,15,10,2018-09-25,2018-10-17,-14,-41,2018-08-27,2018-08-27,106,79,2018-12-25,2018-12-25,2018-09-10,BANGLADESH - CHITTAGONG,A-Accessories,2018-09-05,502.8762542689,5,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,9,30,2018-09-30,09/30/2018,2018,9,30,2018-10-27,10/27/2018,884.6380277654,BANGLADESH - CHITTAGONG,2018-09-30,9,2018-10-27,A-Accessories,-5,-32,2018-09-25,2018-09-25,1,59,2018-10-01,2018-12-25,-34,-61,2018-08-27,2018-08-27,86,59,2018-12-25,2018-12-25,2018-09-30,BANGLADESH - CHITTAGONG,A-Accessories,2018-09-10,859.5221216144,20,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,10,1,2018-10-01,10/01/2018,2018,10,1,2018-10-28,10/28/2018,146.5094525479,BANGLADESH - CHITTAGONG,2018-10-01,10,2018-10-28,A-Accessories,0,-27,2018-10-01,2018-10-01,16,58,2018-10-17,2018-12-25,-35,-62,2018-08-27,2018-08-27,85,58,2018-12-25,2018-12-25,2018-10-01,BANGLADESH - CHITTAGONG,A-Accessories,2018-09-30,884.6380277654,1,27
BANGLADESH - CHITTAGONG,A-Accessories,2018,10,10,2018-10-10,10/10/2018,2018,10,10,2018-11-06,11/06/2018,19.2555280491,BANGLADESH - CHITTAGONG,2018-10-10,10,2018-11-06,A-Accessories,-9,-36,2018-10-01,2018-10-01,7,49,2018-10-17,2018-12-25,-44,-71,2018-08-27,2018-08-27,76,49,2018-12-25,2018-12-25,2018-10-10,BANGLADESH - CHITTAGONG,A-Accessories,2018-10-01,146.5094525479,9,27
