Load Port,Eqp Type (Abrv) in Shipment,ETD,Dsch Port,ETA Dsch Port,Final Dest,ETA Final Dest,Msr (Per Eqp),Unit of Measure,Wgt (Per Eqp),Unit of Measure,PO No.,Item Class,Shipped Qty,PkgCode,Shipped Dtl Qty,PkgCode,Item Shipped Wgt,Unit of Measure,Item Shipped Msr,Unit of Measure
BANGLADESH - CHITTAGONG,,04/01/2017,,04/28/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,06/25/2018,,07/22/2018,,,,,,,,M-Tops,,,,,,,13.953281195,
CHINA - SHANGHAI,,04/01/2017,,04/30/2017,,,,,,,,D-Jackets,,,,,,,14.6509452548,
UNKNOWN,,06/05/2017,,,,,,,,,,S-Shorts,,,,,,,4.1859843585,
BANGLADESH - CHITTAGONG,,06/05/2017,,07/02/2017,,,,,,,,M-Tops,,,,,,,1.3953281195,
UNKNOWN,,08/15/2017,,,,,,,,,,M-Tops,,,,,,,15.3486093145,
CHINA - SHANGHAI,,08/15/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,8.371968717,
CHINA - SHANGHAI,,08/15/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,6.9766405975,
CHINA - SHANGHAI,,08/15/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,8.371968717,
CHINA - SHANGHAI,,08/15/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,56.5107888399,
UNKNOWN,,08/15/2017,,,,,,,,,,M-Tops,,,,,,,6.6975749736,
CHINA - SHANGHAI,,08/15/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,6.9766405975,
BANGLADESH - CHITTAGONG,,04/01/2017,,04/28/2017,,,,,,,,S-Shorts,,,,,,,20.9299217926,
BANGLADESH - CHITTAGONG,,04/01/2017,,04/28/2017,,,,,,,,S-Shorts,,,,,,,25.1159061511,
BANGLADESH - CHITTAGONG,,04/01/2017,,04/28/2017,,,,,,,,S-Shorts,,,,,,,23.7205780316,
BANGLADESH - CHITTAGONG,,04/01/2017,,04/28/2017,,,,,,,,M-Tops,,,,,,,4.1859843585,
BANGLADESH - CHITTAGONG,,04/01/2017,,04/28/2017,,,,,,,,M-Tops,,,,,,,4.1859843585,
CHINA - SHANGHAI,,04/01/2017,,04/30/2017,,,,,,,,S-Shorts,,,,,,,2.790656239,
CHINA - SHANGHAI,,03/24/2017,,04/22/2017,,,,,,,,S-Shorts,,,,,,,4.1859843585,
CHINA - SHANGHAI,,03/24/2017,,04/22/2017,,,,,,,,S-Shorts,,,,,,,2.0929921793,
BANGLADESH - CHITTAGONG,,03/24/2017,,04/20/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
BANGLADESH - CHITTAGONG,,03/24/2017,,04/20/2017,,,,,,,,M-Tops,,,,,,,2.790656239,
CHINA - SHANGHAI,,09/10/2017,,10/09/2017,,,,,,,,M-Tops,,,,,,,29.0228248857,
UNKNOWN,,09/10/2017,,,,,,,,,,M-Tops,,,,,,,2.2325249912,
UNKNOWN,,09/10/2017,,,,,,,,,,M-Tops,,,,,,,43.5342373285,
UNKNOWN,,09/10/2017,,,,,,,,,,M-Tops,,,,,,,21.7671186643,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,M-Tops,,,,,,,23.7205780316,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,M-Tops,,,,,,,10.4649608963,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,M-Tops,,,,,,,6.9766405975,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,M-Tops,,,,,,,6.9766405975,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,M-Tops,,,,,,,6.9766405975,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,A-Accessories,,,,,,,6.9766405975,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,A-Accessories,,,,,,,1.3953281195,
CHINA - SHENZHEN,,03/21/2017,,,,,,,,,,M-Tops,,,,,,,5.581312478,
UNKNOWN,,03/21/2017,,,,,,,,,,M-Tops,,,,,,,27.9065623901,
UNKNOWN,,03/21/2017,,,,,,,,,,M-Tops,,,,,,,27.9065623901,
CHINA - SHENZHEN,,03/21/2017,,,,,,,,,,M-Tops,,,,,,,13.2556171353,
CHINA - SHENZHEN,,03/21/2017,,,,,,,,,,M-Tops,,,,,,,19.5345936731,
UNKNOWN,,03/21/2017,,,,,,,,,,D-Jackets,,,,,,,20.9299217926,
UNKNOWN,,03/21/2017,,,,,,,,,,D-Jackets,,,,,,,6.2789765378,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,A-Accessories,,,,,,,8.371968717,
BANGLADESH - CHITTAGONG,,03/21/2017,,04/17/2017,,,,,,,,A-Accessories,,,,,,,8.371968717,
BANGLADESH - CHITTAGONG,,04/21/2017,,05/18/2017,,,,,,,,M-Tops,,,,,,,6.9766405975,
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,A-Accessories,,,,,,,53.0224685411,
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,37.6738592266,
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,F-Sweatshirts,,,,,,,35.7203998593,
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,A-Accessories,,,,,,,20.0927249209,
BANGLADESH - CHITTAGONG,,08/17/2017,,09/13/2017,,,,,,,,M-Tops,,,,,,,22.3252499121,
