Load_Port,Item_Class,ETD_Yr,ETD_Day,ETD_Mth,ETD_Dte,ETD,ETA_Yr,ETD_Day_1,ETD_Mth_1,ETA_Dsch_Port_Dte,ETA_Dsch_Port,Sum_Shipped_Msr,Load_port_1,ETD_Dte_1,mth_ETD,ETA_Dsch_Port_Dte_1,Item_Class_1,HK_Prev_diff_ETD,HK_Prev_diff_ETA,HK_Prev_ETD,HK_Prev_ETA,HK_Next_diff_ETD,HK_Next_diff_ETA,HK_Next_ETD,HK_Next_ETA,UK_Prev_diff_ETD,UK_Prev_diff_ETA,UK_Prev_ETD,UK_Prev_ETA,UK_Next_diff_ETD,UK_Next_diff_ETA,UK_Next_ETD,UK_Next_ETA,ETD_Dte_2,Load_Port_2,Item_Class_2,prev_ETD_Dte,prev_Shipped_Msr,prev_ETD_Dte_diff,Transport_Days
BANGLADESH - CHITTAGONG,B-Jeans,2016,5,25,2016-05-25,05/25/2016,2016,5,25,2016-06-14,06/14/2016,14.82,BANGLADESH - CHITTAGONG,2016-05-25,5,2016-06-14,B-Jeans,-11,-31,2016-05-14,2016-05-14,15,17,2016-06-09,2016-07-01,-23,-15,2016-05-02,2016-05-30,5,76,2016-05-30,2016-08-29,,,,,,,20
BANGLADESH - CHITTAGONG,B-Jeans,2016,6,6,2016-06-06,06/06/2016,2016,6,6,2016-06-23,06/23/2016,27.96,BANGLADESH - CHITTAGONG,2016-06-06,6,2016-06-23,B-Jeans,-23,-40,2016-05-14,2016-05-14,3,8,2016-06-09,2016-07-01,-7,-24,2016-05-30,2016-05-30,84,67,2016-08-29,2016-08-29,2016-06-06,BANGLADESH - CHITTAGONG,B-Jeans,2016-05-25,14.82,12,17
BANGLADESH - CHITTAGONG,B-Jeans,2016,6,9,2016-06-09,06/09/2016,2016,6,9,2016-07-07,07/07/2016,15.72,BANGLADESH - CHITTAGONG,2016-06-09,6,2016-07-07,B-Jeans,0,-28,2016-06-09,2016-06-09,22,71,2016-07-01,2016-09-16,-10,-38,2016-05-30,2016-05-30,81,53,2016-08-29,2016-08-29,2016-06-09,BANGLADESH - CHITTAGONG,B-Jeans,2016-06-06,27.96,3,28
BANGLADESH - CHITTAGONG,B-Jeans,2016,7,5,2016-07-05,07/05/2016,2016,7,5,2016-07-26,07/26/2016,40.5,BANGLADESH - CHITTAGONG,2016-07-05,7,2016-07-26,B-Jeans,-4,-25,2016-07-01,2016-07-01,73,52,2016-09-16,2016-09-16,-36,-57,2016-05-30,2016-05-30,55,34,2016-08-29,2016-08-29,2016-07-05,BANGLADESH - CHITTAGONG,B-Jeans,2016-06-09,15.72,26,21
BANGLADESH - CHITTAGONG,B-Jeans,2016,9,18,2016-09-18,09/18/2016,2016,9,18,2016-10-18,10/18/2016,19.52,BANGLADESH - CHITTAGONG,2016-09-18,9,2016-10-18,B-Jeans,-2,-32,2016-09-16,2016-09-16,13,68,2016-10-01,2016-12-25,-20,-50,2016-08-29,2016-08-29,98,68,2016-12-25,2016-12-25,2016-09-18,BANGLADESH - CHITTAGONG,B-Jeans,2016-07-05,40.5,75,30
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,2,2017-01-02,01/02/2017,2017,1,2,2017-01-25,01/25/2017,17.52,BANGLADESH - CHITTAGONG,2017-01-02,1,2017-01-25,C-Trousers,0,-23,2017-01-02,2017-01-02,26,3,2017-01-28,2017-01-28,0,-23,2017-01-02,2017-01-02,102,79,2017-04-14,2017-04-14,2017-01-02,BANGLADESH - CHITTAGONG,C-Trousers,2016-12-19,20.91,14,23
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,20,2017-01-20,01/20/2017,2017,1,20,2017-02-16,02/16/2017,13.61,BANGLADESH - CHITTAGONG,2017-01-20,1,2017-02-16,C-Trousers,-18,-45,2017-01-02,2017-01-02,8,47,2017-01-28,2017-04-04,-18,-45,2017-01-02,2017-01-02,84,57,2017-04-14,2017-04-14,2017-01-20,BANGLADESH - CHITTAGONG,C-Trousers,2017-01-02,17.52,18,27
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,26,2017-01-26,01/26/2017,2017,1,26,2017-03-05,03/05/2017,27.79,BANGLADESH - CHITTAGONG,2017-01-26,1,2017-03-05,C-Trousers,-24,-62,2017-01-02,2017-01-02,2,30,2017-01-28,2017-04-04,-24,-62,2017-01-02,2017-01-02,78,40,2017-04-14,2017-04-14,2017-01-26,BANGLADESH - CHITTAGONG,C-Trousers,2017-01-20,13.61,6,38
BANGLADESH - CHITTAGONG,C-Trousers,2017,1,28,2017-01-28,01/28/2017,2017,1,28,2017-03-02,03/02/2017,12.15,BANGLADESH - CHITTAGONG,2017-01-28,1,2017-03-02,C-Trousers,0,-33,2017-01-28,2017-01-28,1,33,2017-01-29,2017-04-04,-26,-59,2017-01-02,2017-01-02,76,43,2017-04-14,2017-04-14,2017-01-28,BANGLADESH - CHITTAGONG,C-Trousers,2017-01-26,27.79,2,33
BANGLADESH - CHITTAGONG,C-Trousers,2017,2,6,2017-02-06,02/06/2017,2017,2,6,2017-03-04,03/04/2017,1413.01,BANGLADESH - CHITTAGONG,2017-02-06,2,2017-03-04,C-Trousers,-6,-32,2017-01-31,2017-01-31,57,31,2017-04-04,2017-04-04,-35,-61,2017-01-02,2017-01-02,67,41,2017-04-14,2017-04-14,2017-02-06,BANGLADESH - CHITTAGONG,C-Trousers,2017-01-28,12.15,9,26
